title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,saturday,sunday,monday,tuesday,wednesday,thursday,friday,imgUrl,isClaimed,latitude,longitude
Pet Shop Baki,4.1,15,Pet Shop,EMPTY,Skopje North Macedonia,X9XQ+RJ Skopje North Macedonia,,+389 2 307 6863,9:30am-2pm,Closed,9:30am-2pm 4:30-8pm,9:30am-2pm 4:30-8pm,9:30am-2pm 4:30-8pm,9:30am-2pm 4:30-8pm,9:30am-2pm 4:30-8pm,https://lh5.googleusercontent.com/p/AF1QipNdD_C9eog2moEdnnWYUu6hSnwDVE_VPaxOfoPS=w426-h240-k-no,FALSE,41.9995625,21.3890625
Pet Shop Park,4.7,14,Pet Shop,EMPTY,Orce Nikolov br.142  Skopje 1000  North Macedonia,2C38+J9 Skopje North Macedonia,,+389 70 242 097,10am-5pm,Closed,10am-8pm,10am-8pm,10am-8pm,10am-8pm,10am-8pm,,FALSE,42.0040625,21.4159375
Akvarium Petshop,4.3,36,Pet Shop,EMPTY,Mitropolit Teodosij Gologanov  lok 10 Skopje 1000 North Macedonia,XCW5+CG Skopje North Macedonia,,+389 75 346 236,10am-4pm,Closed,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,https://lh5.googleusercontent.com/p/AF1QipOlDb7vg2jL5CW64jNr7WWcEznvJX1nyY3Bmlwj=w408-h544-k-no,FALSE,41.9960625,21.4088125
Poki,4.5,28,Pet Shop,EMPTY,Blvd. Partizanski Odredi 155 lok 1000 North Macedonia,2959+5J Skopje North Macedonia,,+389 72 232 301,9am-3pm,Closed,9am-8:30pm,9am-8:30pm,9am-8:30pm,9am-8:30pm,9am-8:30pm,,TRUE,42.0079375,21.3690625
Pet Shop Fauna Centar,4.7,97,Pet Shop,EMPTY,Gjuro Gjakovik Skopje 1000 North Macedonia,XCXF+M4 Skopje North Macedonia,faunacentar.mk,+389 2 312 5192,10am-3pm,Closed,9am-8pm,9am-8pm,9am-8pm,9am-8pm,9am-8pm,https://lh5.googleusercontent.com/p/AF1QipOxeK5F8q08mxC69Y1037d6hyqLnySiuIk8tI_K=w408-h544-k-no,TRUE,41.9991875,21.4228125
Mac-Kac,5,1,Pet Shop,EMPTY,Karposh  Skopje  1000  North Macedonia,293X+9H Skopje North Macedonia,,+389 71 292 332,10:30am-4pm,Closed,10:30am-8pm,10:30am-8pm,10:30am-8pm,10:30am-8pm,10:30am-8pm,,FALSE,42.0034375,21.3989375
Pet shop,5,1,Pet Shop,EMPTY,Bukureshka 5  Skopje 1000  North Macedonia,X9XX+QR Skopje North Macedonia,,,,,,,,,,,FALSE,41.9994375,21.3995625
Luna Pet Shop,4.6,143,Pet Shop,EMPTY,3th Macedonian Brigade Bldv  Skopje 1000  North Macedonia,XFJ5+68 Skopje North Macedonia,lunapetshop.com.mk,+389 71 973 131,10am-3pm,Closed,10am-9pm,10am-9pm,10am-9pm,10am-9pm,10am-9pm,https://lh5.googleusercontent.com/p/AF1QipNN0pusqtsHBg8AgUvkgYFKQCYrD25vcpLOs600=w408-h306-k-no,TRUE,41.9805625,21.4583125
Amazon Pet Shop,4.4,16,Pet Shop,EMPTY,Gjuro Gjakovik  Skopje 1000  North Macedonia,XCXF+89 Skopje North Macedonia,,+389 2 311 8445,10am-4pm,Closed,10am-7pm,10am-7pm,10am-7pm,10am-7pm,10am-7pm,https://geo0.ggpht.com/cbk?panoid=gH9KInp2YzAiycCR0qgZog&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=221.2849&pitch=0&thumbfov=100,FALSE,41.9983125,21.4234375
pet shop H2O,4.6,36,Pet Shop,EMPTY,History Tatarcev 47b. Lok. 11 MK  Skopje 1000  North Macedonia,XCFW+C5 Skopje North Macedonia,,+389 72 262 593,11am-4pm,Closed,11am-5pm,11am-5pm,11am-5pm,11am-5pm,11am-5pm,,TRUE,41.9735625,21.4454375
